"","hard","image","age","sex","income_ord","education_ord","nonresponse_choice_count","ResponseId"
"84",0,1,46,"Masculino",0,2,0,"R_2fjO3gLAgu2zdgK"
"85",1,1,71,"Masculino",2,2,0,"R_1F8Ln0nn0s8hWWX"
"86",1,1,30,"Feminino",2,3,0,"R_1F9WA1qvFUn4OwI"
"87",1,1,47,"Masculino",2,2,0,"R_1LnEW7RnGYeUM4G"
"88",0,1,38,"Feminino",1,2,0,"R_2Wx4Dl4QmmMLv8o"
"89",0,1,43,"Feminino",1,1,0,"R_Y03ycEqEdclYUmt"
"90",1,1,18,"Masculino",0,1,0,"R_WwzNMNMXsSpztMR"
"91",0,1,49,"Masculino",2,2,0,"R_NXBqOmQkLI01JYd"
"92",0,1,57,"Feminino",0,2,0,"R_d7jrkgnMSfP1eal"
"93",1,1,28,"Feminino",1,1,0,"R_TtpcyWES2ZQUFah"
"94",NA,1,18,"Feminino",1,NA,1,"R_XAgjpp1vlExmQU1"
"95",1,1,76,"Masculino",0,2,0,"R_RIeQbtCTN9AxZUB"
"96",0,1,34,"Feminino",0,3,0,"R_WcdRAWclxizGyzv"
"97",1,1,21,"Feminino",0,2,0,"R_26bZZ3w9PPkECmp"
"98",1,0,55,"Masculino",1,3,0,"R_3D0gDt3UgQHszwU"
"99",0,0,18,"Feminino",0,2,0,"R_DABcNxhGfFmsHrH"
"100",1,1,66,"Masculino",2,3,0,"R_3MsA17PfTSzPpSH"
"101",0,1,63,"Masculino",0,2,2,"R_2EclxQ5kXGAXj1g"
"102",0,1,58,"Masculino",2,2,0,"R_30ixsBXvsrLgVn8"
"103",0,1,66,"Masculino",2,3,0,"R_2ZZTl7RwfRN1R49"
"105",0,1,54,"Masculino",0,2,0,"R_3EEFg4UtW6rnpRw"
"106",0,1,61,"Feminino",0,2,0,"R_3eeLROCMANMOiGF"
"107",0,1,37,"Masculino",0,2,2,"R_1CCvYTUAqTZ2jsu"
"108",0,1,60,"Masculino",1,3,0,"R_3JJWQhfGOzR9KDD"
"109",0,1,45,"Masculino",0,2,0,"R_2e81bZ1Yx3e044R"
"110",NA,1,30,"Feminino",2,4,0,"R_2qltkg21GbnknHa"
"111",0,1,47,"Feminino",0,2,0,"R_10wTN15PvJa0M1P"
"112",0,1,50,"Feminino",1,2,0,"R_110yecLB3QFX7Us"
"113",1,1,62,"Masculino",0,1,1,"R_3OpiBNsZzw35lH8"
"114",0,0,41,"Feminino",2,3,0,"R_1GE83DmghLlRdHS"
"115",1,1,57,"Masculino",0,2,1,"R_2E12Hgo6DWsaiAC"
"116",0,0,55,"Masculino",2,2,0,"R_ueJkOK2a6hpoxjP"
"117",0,1,39,"Masculino",2,3,0,"R_1dA1OaXwuJnvpRF"
"118",0,1,34,"Masculino",3,3,0,"R_1GHQjjRZVkxwDC7"
"119",1,1,21,"Masculino",0,1,0,"R_w1r4yGp72z68vpT"
"120",1,1,42,"Masculino",1,3,1,"R_1fZXo8tNNlCqgcl"
"121",1,0,56,"Feminino",0,2,0,"R_3r1VyRNwel2kHMw"
"122",0,1,69,"Masculino",2,3,0,"R_10UTVE9pygL45uw"
"123",1,1,21,"Masculino",0,2,0,"R_3oNLF6qwcLJKYzZ"
"124",0,1,28,"Masculino",2,2,0,"R_1LnShfFVMwf8Xnd"
"125",0,1,19,"Feminino",0,3,0,"R_z6kykEMcBRLWIkV"
"126",0,1,54,"Masculino",2,2,0,"R_3nDFkEL1bG9NVjk"
"127",1,1,24,"Masculino",0,3,0,"R_bgcYIIPRhb3c6Ot"
"128",1,1,53,"Feminino",1,2,0,"R_3stDKTXhfHJ7q7F"
"129",0,1,60,"Masculino",2,3,0,"R_XuqVMT2ZXoorr4R"
"130",0,1,46,"Masculino",1,3,3,"R_3G0QN9owBfLSI4N"
"131",0,1,19,"Masculino",0,2,0,"R_ulgYcySp49cgiDD"
"132",0,1,23,"Feminino",0,2,0,"R_3Jk3uvyukRx8tFF"
"133",1,1,23,"Masculino",0,2,0,"R_1PZruYkUBnqbkCI"
"134",0,1,66,"Feminino",1,2,0,"R_3EX1Gdr94aqogVP"
"135",0,0,64,"Feminino",0,2,1,"R_30k3Bl1aG1sl25L"
"136",0,1,19,"Masculino",1,2,0,"R_uqfGUG3hyRDn5KN"
"137",1,1,30,"Masculino",2,3,0,"R_3G1dLVD7Sb1KsMF"
"138",0,0,28,"Feminino",0,2,0,"R_2WOqNRj9snQbeYF"
"139",0,1,66,"Feminino",1,2,0,"R_1k0rP2XTueOdw7C"
"140",0,1,56,"Feminino",0,3,0,"R_Qbvf3c790body7f"
"141",0,1,37,"Masculino",0,3,0,"R_1FPqw7PGkkvW6V4"
"142",0,1,24,"Masculino",0,2,0,"R_1LpAzCxUy2AgzTU"
"143",0,1,46,"Feminino",1,2,0,"R_1PUK7riL6f4rvOU"
"144",1,1,70,"Feminino",3,4,0,"R_2dRTylXl3JToYhQ"
"145",1,1,55,"Feminino",0,2,0,"R_Dfd1opAUhad2Lx7"
"146",0,0,55,"Masculino",0,2,0,"R_bIBEyeT46G5y0ZX"
"148",1,1,67,"Masculino",1,2,0,"R_smOzZL5DlGsRYoF"
"149",0,1,40,"Masculino",1,2,0,"R_UxBH7xz056qCVDX"
"150",0,1,20,"Masculino",1,2,0,"R_2cvBXYwXJ84VlE4"
"151",0,0,55,"Feminino",1,2,0,"R_1puO3G3GYwTNiwT"
"152",0,1,43,"Masculino",0,2,0,"R_AFKQ3Jwkod05L2h"
"153",0,1,57,"Masculino",2,3,0,"R_2TBKn8dFdOrDuMv"
"154",0,1,27,"Feminino",0,2,0,"R_29dmg3qkh4YrMfJ"
"155",0,1,28,"Masculino",2,4,0,"R_30emFiPjByzSUEj"
"156",0,1,65,"Masculino",1,3,1,"R_12JPcJxFxHetlNW"
"157",0,1,66,"Masculino",0,4,0,"R_30v1Ry2ed4SoxNz"
"158",0,1,65,"Feminino",0,1,0,"R_3rOsNsDxLzpQDQ2"
"159",0,1,65,"Masculino",1,3,1,"R_ZjAnI7qHraVPv4l"
"160",0,1,65,"Masculino",2,3,0,"R_1gHgpYOofT2mRW7"
"161",0,1,66,"Masculino",3,3,1,"R_2Y9hdfeSJ5ZRhwW"
"162",0,1,22,"Feminino",0,2,0,"R_yL4KJ8LO9Ma0ait"
"163",1,1,67,"Masculino",2,3,0,"R_3KJzlIeWUitTy7B"
"164",1,1,47,"Masculino",0,2,3,"R_1q4jm92GmNuG2vw"
"165",1,1,18,"Masculino",0,2,0,"R_1dc4dFtd6HVMYeq"
"166",1,1,50,"Masculino",2,3,0,"R_2wGpKOJzvmXZCfx"
"167",1,1,68,"Feminino",1,2,0,"R_1IfHS5X9At1Jzaz"
"168",0,1,81,"Masculino",2,3,0,"R_1QMHFxlaal1gSFy"
"169",0,1,67,"Feminino",2,3,0,"R_1I4yg2P3hBAMLrO"
"170",0,1,58,"Masculino",2,2,0,"R_2cpClK3QDkBaV0A"
"172",0,0,74,"Masculino",3,2,0,"R_22m2Paq2uKgEIRx"
"173",0,1,66,"Feminino",1,2,0,"R_24HN2EZ4heE2er9"
"174",0,1,67,"Feminino",1,2,0,"R_3OiEhm4EUhTAEI9"
"175",1,1,45,"Masculino",2,2,0,"R_2YPvW5whMCaPbSU"
"176",0,0,69,"Masculino",2,3,0,"R_3PzNJB1SK4qetXo"
"177",0,1,71,"Masculino",3,3,0,"R_6PW7MDRh353efg5"
"178",0,1,65,"Feminino",1,2,0,"R_2PbVibEHVrMZsPD"
"179",0,0,33,"Feminino",1,3,0,"R_1rqUrt0WJ7pF3Jx"
"180",0,1,50,"Feminino",2,3,0,"R_2dPUHitCd9KHfZO"
"181",0,1,65,"Masculino",0,2,0,"R_8vtjek8TO7Su5Vf"
"182",1,1,67,"Feminino",2,3,0,"R_1OD0nKgMRpNkRvw"
"183",1,1,65,"Feminino",2,3,0,"R_1g0hhuK39sI42oZ"
"184",0,1,67,"Masculino",3,3,0,"R_1rCClc0zpx4VnWi"
"185",0,1,69,"Masculino",3,4,0,"R_1mEmsSfWBMBbAQh"
"186",1,1,78,"Masculino",2,3,0,"R_12mWkqgTxtFy7iv"
"187",0,1,74,"Masculino",4,3,0,"R_XB9hfrmd3cXtBux"
"188",0,1,65,"Masculino",1,2,0,"R_3HNz6HvMcsm7XmK"
"189",0,1,22,"Masculino",0,2,0,"R_PNcNgfInsJwj1xT"
"190",0,1,65,"Feminino",2,3,0,"R_40KaCuVXr9QGll7"
"191",1,1,43,"Feminino",0,2,0,"R_1PSgeVy94Q2sKHn"
"192",1,1,66,"Feminino",2,2,0,"R_3EPUTq4PsdNGdE6"
"193",0,1,70,"Feminino",2,3,0,"R_3qa62BQDTaWuKhR"
"194",1,1,66,"Masculino",1,4,0,"R_9QtmpNhpnwYgLhD"
"195",1,1,52,"Masculino",1,2,0,"R_1mfQSTQQ5u4BeeZ"
"196",0,1,67,"Feminino",2,4,0,"R_2tMuD7wZJs558B4"
"197",0,1,33,"Masculino",0,2,3,"R_2t8PKHmzdywk6Cb"
"198",0,1,71,"Masculino",2,2,0,"R_3qjQ1sENdY10UCt"
"199",0,1,65,"Masculino",1,2,0,"R_1gvgiboEvDBOcOX"
"200",1,1,21,"Feminino",1,3,0,"R_1Lj6etrOLWpnPq9"
"201",1,0,78,"Masculino",1,3,2,"R_2fJ2G5ppejRd3Yj"
"202",1,1,49,"Masculino",0,2,0,"R_1rC9M5OzuRDfJZr"
"203",1,0,69,"Masculino",NA,3,0,"R_264j3yjacbUp4UC"
"204",0,1,67,"Feminino",2,3,0,"R_3QGmb2NfglGbOvo"
"205",1,1,51,"Feminino",0,2,0,"R_2zebKJ24gwLAnKW"
"206",0,1,68,"Feminino",2,2,0,"R_3e9PdRQ3in1LEAM"
"207",0,1,65,"Feminino",2,3,0,"R_1rDEyUEHmV2JNWy"
"208",0,1,65,"Feminino",3,3,0,"R_2YRCPdjPLT9TZbD"
"209",1,1,69,"Masculino",3,3,0,"R_3JKkpS9vfh9tqYA"
"210",1,1,21,"Masculino",0,0,0,"R_2YDHvlLfjto22Mc"
"211",0,0,65,"Masculino",2,3,0,"R_2Slx2MSce2TSdhD"
"212",0,1,69,"Feminino",0,2,0,"R_30jURBira6ygAzj"
"213",0,1,69,"Feminino",2,2,0,"R_TqtrQgFcKSGHjG1"
"214",1,1,67,"Masculino",1,3,0,"R_1OluGFUvJ6BU8F5"
"215",0,1,22,"Feminino",0,2,0,"R_9YxDKV82E8fSdt7"
"216",0,1,71,"Masculino",1,3,0,"R_ex6Xi0N6AYaIcHD"
"217",0,1,66,"Feminino",2,3,0,"R_3MlgFB989EPdHR0"
"218",1,1,34,"Masculino",2,3,0,"R_27kFZfd61OeO545"
"219",0,1,77,"Masculino",2,3,0,"R_2afOx0M6gNzM46Y"
"220",0,1,29,"Masculino",0,3,0,"R_9YaIT7GkTHVvEZz"
"221",1,1,67,"Masculino",1,2,3,"R_r6Vvl57nBpzPlRv"
"223",0,1,78,"Feminino",3,4,0,"R_2e89SnvqNIggMIj"
"224",1,1,66,"Masculino",2,2,0,"R_8qu0rXEkQHyesEh"
"225",0,0,29,"Masculino",0,2,0,"R_3qHSVT2nO7x2ZfL"
"226",0,1,65,"Feminino",1,2,0,"R_22WfldsU74vZj3Y"
"227",0,1,22,"Masculino",0,2,0,"R_1Kxawv1OkPIfN1Z"
"228",1,0,69,"Masculino",4,3,0,"R_2YRrKUC9fhQtGwt"
"229",0,1,55,"Masculino",1,1,0,"R_1cZygN3LsSvYl2Q"
"230",0,0,67,"Feminino",4,3,0,"R_1Qs9ZvdKmPV73SY"
"231",0,0,67,"Masculino",3,3,0,"R_2uyxtSBi1YGpbeM"
"232",0,0,20,"Feminino",0,2,0,"R_2ccn8fIHuZ6yGdB"
"233",0,1,74,"Masculino",4,3,0,"R_2tGdCWZGCeNB2Yo"
"234",1,1,68,"Feminino",4,3,1,"R_2qk5vj82kxBfkrh"
"236",0,1,74,"Masculino",4,3,0,"R_3NP2jBDOMTkqZyB"
"237",0,0,72,"Feminino",1,2,0,"R_08wpAasHIp4hwwF"
"238",0,0,68,"Feminino",2,2,0,"R_3imMRBJXXI4r1ON"
"239",0,0,68,"Masculino",2,3,0,"R_22nn5STSxjwQfet"
"240",0,0,57,"Masculino",1,2,0,"R_3DcL5Cc9YJ28GfS"
"241",1,1,71,"Masculino",3,3,3,"R_2c0JRFJYhmg4p20"
"242",1,1,77,"Masculino",2,3,0,"R_1OTWrAOV9rmrV0F"
"243",0,1,66,"Feminino",4,2,0,"R_2qCV6Wxa92vnMhp"
"244",1,1,67,"Masculino",1,2,0,"R_31ABrT4sPkb4gUI"
"245",0,1,65,"Feminino",2,4,0,"R_Uxyt4zSkCJ8mbjb"
"246",1,1,77,"Masculino",1,2,0,"R_3PM32nc2DEo1Wxh"
"247",NA,1,63,"Feminino",0,1,0,"R_239w4vdr8XXTm4O"
"248",1,1,72,"Feminino",2,2,0,"R_2QfAhsR9LEbPPxK"
"249",0,0,67,"Masculino",2,2,0,"R_3pgSfIOeepdRGef"
"250",1,1,69,"Feminino",1,3,0,"R_DxjYFh4XHdG1b4B"
"251",1,1,32,"Feminino",1,4,0,"R_3nBq72CutR5FnP3"
"252",1,1,52,"Masculino",2,2,0,"R_1k05qcOqvDbjmxQ"
"253",0,1,71,"Masculino",0,3,0,"R_2EoV0vhG37kiuxo"
"255",0,1,69,"Masculino",2,3,0,"R_2CxGbKJ2lrPIo1Y"
"256",NA,1,71,"Masculino",0,2,0,"R_a5J8HjnJT2wTzb3"
"257",0,0,55,"Feminino",0,2,0,"R_21ahdjX35mMimeZ"
"258",0,0,36,"Feminino",4,3,0,"R_2xORknkPASo8hTl"
"259",0,1,25,"Feminino",1,3,0,"R_5vAJH1qLdV2908p"
"260",1,0,81,"Masculino",2,3,0,"R_3L57OvElF7pRpVk"
"261",0,0,67,"Masculino",2,2,0,"R_1IhZ1vL6o374MoX"
"262",0,0,32,"Feminino",0,2,0,"R_2SccMAwcjONoIKU"
"263",1,0,55,"Masculino",0,2,0,"R_3h61sgbCw0GqKoO"
"264",1,1,32,"Feminino",0,3,1,"R_1re19IW963s8pot"
"265",1,1,86,"Masculino",0,1,1,"R_2Qu2kgaDm466OeG"
"266",0,1,74,"Feminino",0,2,0,"R_zTiBlzAEA4zk7hT"
"267",0,1,71,"Feminino",0,3,0,"R_3mlw5wQYZqqLVd5"
"268",1,0,82,"Feminino",1,2,0,"R_reFRTWLAQtM1PdT"
"269",0,1,78,"Feminino",1,3,0,"R_pca2I0tYIqmJna1"
"270",1,0,78,"Masculino",3,4,0,"R_294FW4N1kFVA2De"
"271",0,1,79,"Masculino",2,3,0,"R_2CUG2gz1AqcOXdV"
"272",0,1,68,"Feminino",0,4,0,"R_1hzKOpp258ucj8y"
"273",1,1,67,"Masculino",3,3,0,"R_30jk3I7bgei5lky"
"274",0,1,68,"Feminino",0,2,0,"R_sFiXDVPFZCh8R7H"
"275",0,0,72,"Feminino",1,3,0,"R_UFuhL51Oi6nLIFH"
"276",0,0,75,"Masculino",2,2,0,"R_DNLJozTGjRF6lfb"
"277",1,1,68,"Masculino",3,2,0,"R_uensTEHnsBKDCXn"
"278",1,0,66,"Masculino",1,3,0,"R_1Hpho1WCaBCXWtz"
"279",0,1,49,"Masculino",2,2,0,"R_3QM2EbwNq4Kp1EB"
